maintenance_id,start_time,end_time,machine_id,line_id,technician_id,maintenance_type_id,related_failure_id,duration_minutes,labor_cost,parts_cost,part_id,part_quantity,total_cost
1,2022-01-11 14:23:00,2022-01-11 14:46:00,4,1,6,1,,23,122.67,0,,0,122.67
2,2022-01-12 15:59:00,2022-01-12 16:38:00,7,2,7,1,,39,227.5,4200,6.0,1,4427.5
3,2022-01-13 10:01:00,2022-01-13 10:58:00,10,3,9,1,,57,370.5,0,,0,370.5
4,2022-01-14 08:28:00,2022-01-14 09:21:00,9,3,2,1,,53,326.83,0,,0,326.83
5,2022-01-14 13:23:00,2022-01-14 13:59:00,12,3,8,1,,36,252.0,42000,16.0,1,42252.0
6,2022-01-14 17:38:00,2022-01-14 18:09:00,11,3,2,1,,31,191.17,0,,0,191.17
7,2022-01-14 18:14:00,2022-01-14 18:41:00,1,1,6,1,,27,144.0,0,,0,144.0
8,2022-01-15 06:54:00,2022-01-15 07:48:00,5,2,7,1,,54,315.0,0,,0,315.0
9,2022-01-15 17:10:00,2022-01-15 18:08:00,8,2,5,1,,58,338.33,0,,0,338.33
10,2022-01-15 18:11:00,2022-01-15 19:01:00,2,1,3,1,,50,291.67,0,,0,291.67
11,2022-01-15 18:31:00,2022-01-15 19:26:00,6,2,2,1,,55,339.17,0,,0,339.17
12,2022-01-15 19:59:00,2022-01-15 20:48:00,3,1,4,1,,49,261.33,0,,0,261.33
13,2022-01-24 21:41:00,2022-01-24 22:30:00,11,3,4,1,,49,261.33,0,,0,261.33
14,2022-01-25 07:06:00,2022-01-25 07:41:00,7,2,4,1,,35,186.67,0,,0,186.67
15,2022-01-25 08:22:00,2022-01-25 08:52:00,1,1,9,1,,30,195.0,60000,18.0,1,60195.0
16,2022-01-25 10:42:00,2022-01-25 11:07:00,4,1,8,1,,25,175.0,0,,0,175.0
17,2022-01-26 07:00:00,2022-01-26 07:54:00,12,3,5,1,,54,315.0,0,,0,315.0
18,2022-01-26 07:59:00,2022-01-26 08:55:00,10,3,3,1,,56,326.67,38000,19.0,1,38326.67
19,2022-01-26 16:52:00,2022-01-26 17:27:00,9,3,3,1,,35,204.17,900,3.0,1,1104.17
20,2022-01-27 06:27:00,2022-01-27 07:10:00,8,2,4,1,,43,229.33,0,,0,229.33
21,2022-01-27 06:59:00,2022-01-27 07:29:00,6,2,6,1,,30,160.0,0,,0,160.0
22,2022-01-29 08:49:00,2022-01-29 09:43:00,2,1,8,1,,54,378.0,0,,0,378.0
23,2022-01-29 10:04:00,2022-01-29 10:42:00,3,1,5,1,,38,221.67,0,,0,221.67
24,2022-01-29 10:58:00,2022-01-29 11:22:00,5,2,2,1,,24,148.0,38000,19.0,1,38148.0
